DISTRICT,Cluster,Very low density,Low density,Medium density,High density,Rural,Suburban/Small City,Urban
1,Suburban/Small City,0.662343230785722,0.33765676921427806,0,0,0.436852028741746,0.5115222622407471,0.05162570901750691
10,Rural,0.7294000753760236,0.2705999246239764,0,0,0.7242476532964556,0.24000315974779743,0.03574918695574697
100,Suburban/Small City,0.4749670703479673,0.3465733979564433,0.17845953169558934,0,0.020565633141752415,0.9669808570212164,0.012453509837031139
11,Suburban/Small City,0.5148155810019835,0.26037699112890467,0.20070092604986797,0.024106501819243828,0.12719767088523737,0.813274800176826,0.05952752893793672
12,Rural,0.885744262295082,0.09597377049180328,0.018281967213114755,0,0.9947490620742006,0.004062678723876118,0.0011882592019233917
13,Urban,0.08752295320711707,0.266494649528272,0.5897232951307542,0.05625910213385677,0.019069517418353606,0.05323009095524785,0.9277003916263986
14,Rural,0.7088704811015415,0.16833068188052006,0.12279883701793845,0,0.7414080143755118,0.217614561144051,0.04097742448043722
15,Rural,0.8545538453862849,0.11936538029785217,0.026080774315862996,0,0.99938978035047,4.8095842642631925e-4,1.2926122310369481e-4
16,Rural,0.915605448203311,0.084394551796689,0,0,0.9827488151038671,0.013183805063946074,0.004067379832186844
17,Suburban/Small City,0.5485292677353009,0.24532336521824297,0.2061473670464562,0,0.18986137814175874,0.7406796374924591,0.0694589843657821
18,Rural,0.9049731779131206,0.09502682208687936,0,0,0.9886207171170286,0.008757222184652498,0.0026220606983188856
19,Rural,0.6661758844248493,0.1744771542222186,0.14053996892616302,0.018806992426769052,0.6026015920816603,0.33927727273208136,0.058121135186258374
2,Rural,0.7815184017962209,0.2184815982037791,0,0,0.8981789176938856,0.08542014926229602,0.016400933043818518
20,Urban,0.04735316586527659,0.5220307374286614,0.4046420707320361,0.025974025974025976,0.08123472094585127,0.33288431957727826,0.5858809594768705
21,Rural,1,0,0,0,0.9123200499008368,0.06363659118363066,0.024043358915532616
22,Rural,0.8761999734077915,0.12380002659220848,0,0,0.997641265225223,0.0018506857600661332,5.080490147108562e-4
23,Rural,0.8671327691531693,0.1328672308468307,0,0,0.9978335349564028,0.001710445195969148,4.560198476280087e-4
24,Rural,0.9314801552272614,0.06851984477273863,0,0,0.9721231435041823,0.021087424483893422,0.006789432011924387
25,Rural,0.6976861877412673,0.20519489690236326,0.09711891535636946,0,0.6933072123443972,0.26494758136250357,0.04174520629309933
26,Suburban/Small City,0.3305304221327784,0.567110044163791,0.10235953370343069,0,0.074753187430865,0.8416699295740157,0.08357688299511942
27,Suburban/Small City,0.560956945935318,0.4258643228364031,0.013178731228279006,0,0.1466917432111163,0.8108516997559849,0.04245655703289878
